indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
1780,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1781,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1782,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1783,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1784,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1785,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1786,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1787,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1788,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1789,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1790,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1791,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1792,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1793,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1794,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1795,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1796,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1797,3,995,0.3904381990432739,694,0.3182748258113861,1081,0.31621119379997253,3,0.29342401027679443,9,0.23764963448047638,1083,0.216075137257576,4,0.29342401027679443
1798,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1799,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1800,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1801,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1802,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1803,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1804,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1805,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1806,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1807,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1808,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1809,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1810,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1811,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1812,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1813,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1814,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1815,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1816,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1817,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1818,3,3,0.4891722798347473,1081,0.48607131838798523,72,0.4170755445957184,359,0.41098999977111816,425,0.4007173478603363,1079,0.3865814507007599,1,0.4891722798347473
1819,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1820,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
1821,3,1081,0.42713409662246704,9,0.409456729888916,3,0.4039325416088104,995,0.3623878061771393,12,0.2758084237575531,1169,0.2758084237575531,3,0.4039325416088104
